"id","nro_oc","descripcion","fecha_emision","monto_neto","impuesto","monto_total","id_licitacion","folio_sigfe","estado","archivo_adjunto","tipo_adquisicion","cuenta_presupuestaria_id","orden_trabajo_id","presupuesto_id","proveedor_id","vehiculo_id"
2,"1057531-14-CC25","Convenio Servicios de Mantención Preventiva Correctiva yo Reparativa Vehículos Mercedes Benz de la Dirección del SSO y Hospitales Dependientes. ID Licitación: 1057532-101-LQ24 Según OT 204713505 Adjunta Patente Vehículo HR.PG-25 22.06.002.002","2025-01-16",157020,29834,186854,"1057532-101-LQ24","","EMITIDA",NULL,"Licitación Pública",2,NULL,NULL,1,1
3,"1057531-478-CC25","Convenio Servicios de Mantención Preventiva Correctiva yo Reparativa Vehículos Mercedes Benz de la Dirección del SSO y Hospitales Dependientes. Licitación Pública ID N°1057532-101-LQ24. OT 204718116 - PPTO 22.06.002.002","2025-01-23",3167392,548692,3436544,"1057532-101-LQ24","","EMITIDA",NULL,"Licitación Pública",2,NULL,NULL,1,2
4,"1057531-484-CC25","Convenio Servicios de Mantención Preventiva Correctiva yo Reparativa Vehículos Mercedes Benz de la Dirección del SSO y Hospitales Dependientes. Licitación Pública ID N°1057532-101-LQ24. OT 204738775 - PPTO 22.06.002.002","2025-01-27",573644,108992,682636,"1057532-101-LQ24","","EMITIDA",NULL,"Licitación Pública",2,NULL,NULL,1,2
5,"1057531-507-CC25","CONVENIO SERVICIOS MANTENCIÓN PREVENTIVA CORRECTIVA YO REPARATIVA VEHÍCULOS MULTIMARCAS DEPENDIENTES DEL SERVICIO SALUD OSORNO. ID: 1057532-73-LQ23 Según ppto. 25098 - adjunto","2025-02-04",295250,56098,351348,"1057532-73-LQ23","","EMITIDA",NULL,"Licitación Pública",NULL,NULL,NULL,3,3
6,"1057531-522-CC25","CONVENIO DE SERVICIOS DE MANTENCIÓN PREVENTIVA, CORRECTIVA Y/O REPARATIVA VEHÍCULOS MULTIMARCAS DEPENDIENTES DEL SERVICIO DE SALUD OSORNO AÑO 2024 - 2025 LP 1057532-73-LQ23. OT 25307","2025-02-18",198100,37639,235739,"1057532-73-LQ23","","EMITIDA",NULL,"Licitación Pública",4,NULL,NULL,3,4
7,"1057531-551-CC25","SERVICIOS DE MANTENCION PREVENTIVA, CORRECTIVA Y/O REPARATIVAS PARA LAS CONVERSIONES EN AMBULANCIAS Y VEHÍCULOS CON EQUIPOS ESPECIALES DEL SERVICIO DE SALUD OSORNO AÑO 2025. Licitación Pública ID N°1057532-136-LQ24.","2025-03-07",513900,97641,611541,"1057532-136-LQ24","","EMITIDA",NULL,"Licitación Pública",NULL,NULL,NULL,2,1
8,"1057531-594-CC25","SERVICIOS DE MANTENCION PREVENTIVA, CORRECTIVA Y/O REPARATIVAS PARA LAS CONVERSIONES EN AMBULANCIAS Y VEHÍCULOS CON EQUIPOS ESPECIALES DEL SERVICIO DE SALUD OSORNO AÑO 2025. Licitación Pública ID N°1057532-136-LQ24. Clasificador Presupuestario: 22 06 002 002","2025-04-08",643000,122170,765170,"1057532-136-LQ24","","EMITIDA",NULL,"Licitación Pública",2,NULL,NULL,2,2
9,"1057531-624-CC25","CONVENIO SERVICIOS MANTENCIÓN PREVENTIVA CORRECTIVA YO REPARATIVA VEHÍCULOS MULTIMARCAS DEPENDIENTES DEL SERVICIO SALUD OSORNO. ID: 1057532-73-LQ23 Según ppto. 25411 - adjunto","2025-04-29",292500,55575,348075,"1057532-73-LQ23","","EMITIDA",NULL,"Licitación Pública",NULL,NULL,NULL,3,3
10,"1057531-643-CC25","CONVENIO SERVICIOS MANTENCIÓN PREVENTIVA CORRECTIVA Y/O REPARATIVA VEHÍCULOS MULTIMARCAS DEPENDIENTES DEL SERVICIO SALUD OSORNO. ID: 1057532-73-LQ23 Según ppto. 25550 - adjunto","2025-05-02",205800,39102,244902,"1057532-73-LQ23","","EMITIDA",NULL,"Licitación Pública",NULL,NULL,NULL,3,3
11,"1057531-659-CC25","SERVICIOS DE MANTENCION PREVENTIVA, CORRECTIVA Y/O REPARATIVAS PARA LAS CONVERSIONES EN AMBULANCIAS Y VEHÍCULOS CON EQUIPOS ESPECIALES DEL SERVICIO DE SALUD OSORNO AÑO 2025. Licitación Pública ID N°1057532-136-LQ24.","2025-05-12",3037990,577218,3615208,"1057532-136-LQ24","","EMITIDA",NULL,"Licitación Pública",NULL,NULL,NULL,2,1
