"id","tipo_mantencion","fecha_ingreso","fecha_salida","fecha_programada","km_al_ingreso","descripcion_trabajo","estado","nro_factura","archivo_adjunto","costo_estimado","costo_mano_obra","costo_repuestos","costo_total_real","cuenta_presupuestaria_id","orden_compra_id","orden_trabajo_id","proveedor_id","vehiculo_id"
1,"Correctivo","2025-01-16","2025-01-17",NULL,407951,"Cambio de tubo flexible de liquido refrigerante – HR.PG-25","Finalizado",NULL,"",0,186854,0,186854,2,2,NULL,1,1
2,"Correctivo","2025-01-23","2025-01-24",NULL,334513,"Convenio Servicios de Mantención – LX-FG-16","Finalizado",NULL,"",0,3436544,0,3436544,2,3,NULL,1,2
3,"Preventivo","2025-01-27","2025-01-28",NULL,334513,"Convenio Servicios de Mantención – LX-FG-16","Finalizado",NULL,"",0,682636,0,682636,2,4,NULL,1,2
5,"Correctivo","2025-02-18","2025-02-19",NULL,327340,"Convenio Mantención Multimarcas – HL.TS-76","Finalizado",NULL,"",0,235739,0,235739,4,6,NULL,3,4
7,"Preventivo","2025-04-08","2025-04-09",NULL,334513,"SERVICIOS DE MANTENCION CONVERSIONES – LX-FG-16","Finalizado",NULL,"",0,765170,0,765170,2,8,NULL,2,2
11,"Preventivo","2025-05-29","2025-05-30",NULL,334513,"Convenio Mercedes Benz – LX-FG-16","Finalizado",NULL,"",0,290586,0,290586,2,12,NULL,1,2
12,"Preventivo","2025-05-19","2025-05-20",NULL,334513,"SERVICIOS DE MANTENCION CONVERSIONES – LX-FG-16","Finalizado",NULL,"",0,2176748,0,2176748,2,13,NULL,2,2
14,"Preventivo","2025-07-07","2025-07-08",NULL,407951,"Convenio Mercedes Benz – HR.PG-25","Finalizado",NULL,"",0,694330,0,694330,2,15,NULL,1,1
15,"Preventivo","2025-08-11","2025-08-12",NULL,407951,"Convenio Mercedes Benz – HR.PG-25","Finalizado",NULL,"",0,305374,0,305374,2,16,NULL,1,1
16,"Preventivo","2025-09-08","2025-09-09",NULL,334513,"Convenio Mercedes Benz – LX-FG-16","Finalizado",NULL,"",0,595916,0,595916,2,17,NULL,1,2
17,"Preventivo","2025-09-30","2025-10-01",NULL,407951,"SERVICIOS DE MANTENCION CONVERSIONES – HR.PG-25","Finalizado",NULL,"",0,98175,0,98175,2,18,NULL,2,1
18,"Preventivo","2025-09-30","2025-10-01",NULL,336979,"SERVICIOS DE MANTENCION CONVERSIONES – KX.SL-70","Finalizado",NULL,"",0,2500904,0,2500904,2,19,NULL,2,3
19,"Preventivo","2025-10-06","2025-10-07",NULL,407951,"Convenio Mercedes Benz – HR.PG-25","Finalizado",NULL,"",0,891022,0,891022,2,21,NULL,1,1
20,"Preventivo","2025-10-13","2025-10-14",NULL,334513,"Convenio Mercedes Benz – LX-FG-16","Finalizado",NULL,"",0,1187841,0,1187841,2,22,NULL,1,2
21,"Preventivo","2025-10-15","2025-10-16",NULL,327340,"Convenio Mantención Multimarcas – HL.TS-76","Finalizado",NULL,"",0,141373,0,141373,4,23,NULL,3,4
22,"Preventivo","2025-11-14","2025-11-15",NULL,334513,"Convenio Mercedes Benz – LX-FG-16","Finalizado",NULL,"",0,95850,0,95850,2,24,NULL,1,2
